commercial_area,night_sales,total_shops,night_per_shop,total_sales,night_index
사직공원(한국사회과학도서관),39400602.0,318.0,123901.2641509434,128614901.0,0.3063455454512226
서울대입구역,31094828257.0,7122.0,4366024.748244875,101562594366.0,0.3061641783681097
인수동 우편취급국,297218311.0,774.0,384002.98578811367,974786944.0,0.3049059210624799
월정로시장,276854831.0,216.0,1281735.3287037036,908845132.0,0.3046226703011047
장안1동주민센터,6277382751.0,3954.0,1587603.1236722306,20608206655.0,0.3046059686846633
성신여대,36515515297.0,10422.0,3503695.576376895,120024410635.0,0.30423407291742877
삼육보건대학교,1626647232.0,1962.0,829076.0611620796,5360524218.0,0.3034492832879876
신정네거리역,14670855697.0,4008.0,3660393.1379740518,48420026416.0,0.3029914847826712
"신촌역(신촌역, 신촌로터리)",58510670082.0,18972.0,3084053.8731815307,193639841573.0,0.3021623525752687
강남구청역 2번,1140559687.0,210.0,5431236.604761905,3775346044.0,0.30210732306582705
강동구립 천호도서관,629131521.0,1164.0,540490.9974226804,2090102895.0,0.3010050474094004
봉천제일종합시장,83843218.0,90.0,931591.3111111111,279011662.0,0.3005007654482915
KB국민은행 망원동지점,3501651834.0,1542.0,2270850.7354085604,11679817645.0,0.29980363910039454
목2동시장,5807599999.0,1218.0,4768144.498357964,19382207195.0,0.29963563698246803
공릉역 2번,475517493.0,1248.0,381023.63221153844,1594313020.0,0.29825855213802366
고덕동성당,2663361740.0,1014.0,2626589.487179487,8934613754.0,0.2980947820836262
석촌역 6번,1073852177.0,1212.0,886016.6476897689,3605643063.0,0.2978254248235331
서울중앙시장(신중앙시장),8775170774.0,3336.0,2630446.87470024,29490270432.0,0.29756155658979755
강북북부골목시장,237828424.0,216.0,1101057.5185185184,801376901.0,0.29677474319914293
오류동역,6440581224.0,2190.0,2940904.6684931507,21708823003.0,0.2966803508006841
석촌역 7번,10621642973.0,3174.0,3346453.3626339003,35884449381.0,0.29599570722754126
열정도,4443004919.0,624.0,7120200.190705128,15051885964.0,0.29517928382040987
청량종합도매시장,150198832.0,516.0,291083.00775193796,509299584.0,0.2949125361940213
종로3가역,86428271457.0,20172.0,4284566.302647234,293244176437.0,0.2947314163477278
